"filename", "language", "C#", "JavaScript", "Markdown", "CSS", "JSON", "XML", "Razor", "Properties", "comment", "blank", "total"
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Models\SaleNoteDetail.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Models\Usuario.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Program.cs", "C#", 42, 0, 0, 0, 0, 0, 0, 0, 7, 17, 66
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Properties\PublishProfiles\SoftWhatsAppCRMDashBoard - Web Deploy.pubxml", "XML", 0, 0, 0, 0, 0, 28, 0, 0, 4, 0, 32
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Properties\ServiceDependencies\SoftWhatsAppCRMDashBoard - Web Deploy\profile.arm.json", "JSON", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 113
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 39
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash.csproj", "XML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 7, 36
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\ViewModels\ClientCreateVM.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\ViewModels\ClientVM.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\ViewModels\LoginVM.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\ViewModels\ProductVM.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 10, 27
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\ViewModels\RoleVM.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\ViewModels\SaleNoteVM.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\ViewModels\UserVM.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Account\Login.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 50, 0, 0, 5, 55
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Category\Index.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 143, 0, 2, 8, 153
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Client\Index.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 158, 0, 2, 13, 173
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Crm\Client.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 167, 0, 2, 13, 182
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Crm\Index.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 26, 0, 0, 9, 35
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Home\Index.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Home\Privacy.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Mark\Index.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 143, 0, 2, 7, 152
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Product\Index.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 188, 0, 2, 18, 208
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Role\Index.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 143, 0, 2, 7, 152
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\SaleNote\Index.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 161, 0, 2, 9, 172
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Shared\Error.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Shared\_Layout.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 63, 0, 0, 16, 79
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Shared\_Layout.cshtml.css", "CSS", 0, 0, 0, 38, 0, 0, 0, 0, 2, 9, 49
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Shared\_LoginLayout.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 27, 0, 0, 6, 33
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Shared\_NavBar.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 374, 0, 7, 7, 388
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Shared\_SideBar.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 479, 0, 1, 20, 500
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Shared\_ValidationScriptsPartial.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\User\Index.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 147, 0, 2, 7, 156
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\_ViewImports.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\_ViewStart.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\appsettings.Development.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\appsettings.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\bin\Debug\net8.0\SoftWhatsAppCRMDash.deps.json", "JSON", 0, 0, 0, 0, 896, 0, 0, 0, 0, 0, 896
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\bin\Debug\net8.0\SoftWhatsAppCRMDash.runtimeconfig.json", "JSON", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
